0.991	0.96
0.646	0.96
0.17595	0.96
0.17767	0.96
0.735	0.96
0.17595	0.96
2.17	0.96
2.17	0.96
2.17	0.96
0.03	0.8
0.03	0.8
0.03	0.8
0.03	0.8
0.03	0.8
0.00871	0.8
0.01391	0.8
0.00871	0.8
1.30799	0.8
0.74074	0.8
0.74074	0.8
3.36	0.48
0.06527	0.96
6.81	0.96
1.70051	0.96
3.70371	0.96
6.63057	0.48
10.45	0.96
2.155	0.96
4.23462	0.96
1.24359	0.96
1.84	0.96
0.33638	0.96
0.42725	0.96
0.9224	0.96
0.206	0.96
0.9224	0.96
0.19457	0.96
1.19	0.48
12.7	0.32
3.88	0.32
2.53846	0.32
0.13675	0.32
0.12821	0.32
0.62	0.96
1.81	0.96
0.96441	0.96
0.00855	0.96
0.32799	0.96
0.81838	0.96
370.66745	0.96
1.4631	0.96
0.33	0.96
0.3373	0.96
1.6	0.32
3.89695	0.48
0.213	0.96
1.04193	0.96
0.02296	0.96
3.44304	0.96
3.44304	0.96
3.44304	0.96
1.73	0.48
1.37	0.48
1.37	0.48
1.73	0.48
1.73	0.48
0.17364	0.48
0.54286	0.96
0.54286	0.96
0.68559	0.96
0.06018	0.96
1.73077	0.96
1.73077	0.96
1.73077	0.96
1.73077	0.96
1.9	0.32
2.138	0.32
4.15	0.48
0.783	0.48
0.783	0.48
0.783	0.48
1.06	0.48
0.808	0.48
0.13244	0.48
5.732	0.48
0.61687	0.48
0.73604	0.48
0.108	0.48
0.27057	0.48
0.27057	0.48
0.07303	0.48
0.491	0.48
0.1546	0.48
1.3	0.48
1.3	0.48
0.0541	0.48
0.294	0.48
0.3	0.48
1.18666	0.48
1.98745	0.96
1.98745	0.96
0.13	0.96
0.13	0.96
0.86121	0.96
0.317	0.96
1.68293	0.96
1.57724	0.96
2.07	0.96
1.67	0.96
1.78	0.96
0.12336	0.96
0.22991	0.96
0.898	0.96
0.898	0.96
0.137	0.96
5.42	0.96
6.41	0.96
0.52991	0.96
0.126	0.96
0.292	0.96
0.19169	0.96
0.71769	0.96
8.29	0.96
1.00242	0.96
1.8344	0.96
5.84003	0.96
0.15683	0.96
0.15683	0.96
0.08525	0.96
0.0642	0.48
0.0642	0.48
0.0642	0.48
0.0642	0.48
0.0642	0.48
0.05711	0.32
12.7	0.8
0.201	0.32
1.98	0.8
1.98	0.8
0.21579	0.8
0.17972	0.8
0.647	0.8
273.673	0.8
0.112	0.8
0.52031	0.8
9.77778	0.8
0.766	0.8
0.27234	0.8
0.21684	0.48
0.9224	0.48
0.9224	0.48
0.44286	0.48
0.20765	0.48
0.21669	0.48
5.82	0.96
2.535	0.96
2.535	0.96
0.3373	0.32
0.3373	0.32
0.3373	0.32
0.21	0.32
0.138	0.32
0.03232	0.96
0.03232	0.96
0.03232	0.96
0.01288	0.96
